"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW201,SW202";"SW_KMR7";2;"SWITCH_PUSHBUTTON";;;
2;"U203";"QFN-24-1EP_4x4mm_Pitch0.5mm";1;"CP2104";;;
3;"C302,C501,C102,C201,C401,C301,C303,C304,C601,C602,C706,C901,C903,C1006,C1106,C1206";"SMD_1206";16;"10uF";;;
4;"U301";"SOT-23-5";1;"MCP73831/2";;;
5;"M501";"MICROSD";1;"MICROSD";;;
6;"R501,R401";"SMD_0805";2;"1MEG";;;
7;"Q501,Q302,Q303,Q401";"SOT-23";4;"DMG3415U";;;
8;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"KH_F20_mounting_hole";8;"hole";;;
9;"Q202,Q201";"SOT-23";2;"MMBT4401";;;
10;"C101";"SMD_0805";1;"1.0uF";;;
11;"C103,C202,C502,C1202,C702,C705,C905,C1002,C1005,C1102,C1105,C1205";"SMD_0805";12;"0.1uF";;;
12;"R101,R102,R204,R205,R306,R701,R901,R902,R1001,R1201,R1101";"SMD_0805";11;"10k";;;
13;"R103,R104";"SMD_0805";2;"4.7k";;;
14;"R105,R106,R107,R108,R402,R403,R404";"SMD_0805";7;"330";;;
15;"R301";"SMD_0805";1;"1.0K";;;
16;"R302,R303";"SMD_0805";2;"1Meg";;;
17;"R304";"SMD_0805";1;"4.7K";;;
18;"R305";"SMD_0805";1;"1.0Meg";;;
19;"LED201,LED101,LED102,LED103,LED104,LED401,LED202";"SMD_D_0805";7;"LED";;;
20;"C402,C701,C703,C1001,C1003,C1101,C1103,C1201,C1203";"SMD_0805";9;"0.01uF";;;
21;"F301";"radial-0.2-in-0.7mm-hole";1;"1A Poly";;;
22;"J301";"JST_battery_header_B2B-PH-K-S";1;"Battery";;;
23;"L401";"SMD_0805";1;"bead";;;
24;"LED301";"SMD_D_0805";1;"Charge";;;
25;"Q301,Q701,Q1001,Q1101,Q1201";"SOT-23";5;"DMG3414U";;;
26;"TP201";"tp_th_1mm";1;"RXD";;;
27;"TP202";"tp_th_1mm";1;"TXD";;;
28;"U201";"USB_micro_B_FCI_10104110";1;"USB_B_Socket";;;
29;"U302,U601";"SOT89-5";2;"NCP694-3.3";;;
30;"U401";"FGPMMOPA6H";1;"FGPMMOPA6H GPS";;;
31;"C403,C704,C902,C904,C1004,C1104,C1204";"SMD_0805";7;"1uF";;;
32;"R601";"SMD_0805";1;"100k";;;
33;"U701,U1001";"S-PDSO-G8";2;"OPA388D";;;
34;"U902";"VSSOP10-S-PDSO-G10";1;"TS5A3160";;;
35;"U202,U801";"SMD_SC70-6";2;"SP3003-04";;;
36;"U1101";"SMD_SC70-6";1;"OPA388D";;;
37;"R201";"R_0805";1;"1k";;;
38;"R202,R203";"R_0805";2;"330";;;
39;"BT401";"CR1025_holder";1;"CR1025";;;
40;"D601,D302";"D_SOD-128";2;"RB168LAM";;;
41;"SW301";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"SW_SPDT";;;
42;"D301";"D_SOD-123";1;"RB168LAM";;;
43;"U103";"TSSOP-16-1EP_4.4x5mm_Pitch0.65mm";1;"TCA9534A";;;
44;"J801";"header-0.050-10-pin-through-hole";1;"CONN_02X05";;;
45;"R702,R1002,R1202,R1102";"SMD_0805";4;"DNP";;;
46;"R703,R1003,R1203,R1103";"SMD_0805";4;"10";;;
47;"R704,R1004,R1204,R1104";"SMD_0805";4;"5k";;;
48;"R801,R802,R803,R804";"R_0805";4;"10k 0.1%";;;
49;"R903";"SMD_0805";1;"1R0";;;
50;"TP901";"tp_th_1mm";1;"VREF";;;
51;"U903";"sot23-5";1;"OPA333";;;
52;"U101";"ESP32-WROOM";1;"ESP32-WROOM";;;
53;"U102";"BME280";1;"BME280";;;
54;"U702,U1002,U1102,U1202";"SSOP-16_3.9x4.9mm_Pitch0.635mm";4;"LTC2440";;;
55;"U901";"TSSOP-8_3x3mm_Pitch0.65mm";1;"REF5030";;;
