Id,Designator,Package,Quantity,Designation,Supplier and ref,
8,U101,ESP32-WROOM,1,ESP32-WROOM,1 stock,1
25,U301,FGPMMOPA6H,1,FGPMMOPA6H,1 stock,1
18,F201,SMD_1812,1,1A Poly,10 stock,1
24,SW201,SW_KMR7,1,SW,10 stock,0
12,"SW501,SW502",SW_KMR7,2,SWITCH_PUSHBUTTON,10 stock,0
29,"C303,C101",SMD_0805,2,1uF,100 stock,1
3,"C401,C301,C202,C102,C205,C204,C501",SMD_0805,7,10uF,100 stock,0
23,U202,SOT89-5,1,NCP694-3.3,17 stock,1
41,Q203,SOT-23,1,DMG3414U,20 stock,1
11,"Q301,Q401,Q205,Q204,Q202,Q201",SOT-23,6,DMG3415U,20 stock,1
28,"C402,C104,C103,C502",SMD_0805,4,0.1uF,200 stock,1
15,U501,USB_micro_B_FCI_10104110,1,USB_B_Socket,5 stock,1
22,U201,SOT-23-5,1,MCP73832,ncp73831 ok,1
26,"C203,C201",SMD_0805,2,4.7uF,stock,0
31,"LED102,LED103,LED104,LED105,LED106,LED101,LED201,LED301,LED502,LED501",SMD_D_0805,10,LED,Stock,1
19,J201,TH_1.0,1,V_QI,x,X
20,J202,TH_1.0,1,GND,x,X
4,",REF**,REF**,",KH_F20_mounting_hole,4,hole,x,X
17,BT301,CR1025_holder,1,CR1025,5 DK,1
30,C302,SMD_0805,1,0.01uF,100 stock,1
16,"D201,D204,D203,D202",D_SOD-123,4,SS24FL,25 DK,1
43,J101,conn_FCI_14_NH,1,CONN_02X07,4 DK,1
21,J203,JST_battery_header_S2B-PH-K-S,1,Battery,4 DK,1
27,L301,SMD_0805,1,bead,10 DK,1
1,M401,MICROSD,1,MICROSD,5DK 2908-05WB,1
42,"Q502,Q501",SOT-23,2,MMBT4401,100 DK,1
36,"R103,R102",R_0603,2,4.7k,100 DK,1
9,"R104,R101,R505,R504",R_0603,4,10k,100 DK,1
35,"R202,R201,R210",R_0603,3,1.0Meg,100 DK,1
34,R203,R_0603,1,1.0K,100 DK,1
39,R204,R_0603,1,100k,100 DK,1
32,"R205,R208,R207",R_0603,3,1Meg,100 DK,1
38,R206,R_0603,1,1.0k,100 DK,1
37,R209,R_0603,1,10K,100 DK,1
10,"R301,R401",R_0603,2,1MEG,100 DK,1
33,"R304,R303,R302,R110,R109,R108,R107,R106,R105,R502,R503",R_0603,11,330,100 DK,1
40,R501,R_0603,1,1k,100 DK,1
13,TP501,tp_th_1mm,1,RXD,x,
7,TP502,tp_th_1mm,1,TXD,x,
6,U102,BME280,1,BME280,3 DK,1
5,U103,SOIC-16,1,TCA9534A,5 DK,1
14,U502,SMD_SC70-6,1,SP3003-04,10DK,1
2,U503,QFP_24,1,CP2102N,5 DK,1
